14, 2224, QUAVC, QUESO AMARILLO VILLITA 175GR (36PZ), 799, 1
14, 2224, SAPF2, SALCHICHA PAVO FUD 2.7KG, 129, 3
14, 2224, SAVMT, SALCHICHA VIVA 3KG MAYOREO, 112, 10
14, 2224, YOGMMM, YOGURT GRIEGO 1/2 , 30, 3
14, 2224, YOGMMM, YOGURT GRIEGO 1/2 , 30, 3
14, 2224, YOGN1, YOGURT GRIEGO NATURAL 1KG AZUL, 57, 6
14, 2224, YOLT1C, YOGURT LIGHT YOPLAIT 1KG (6PZ) CAJA, 195, 1
14, 2224, YOM, YOGURT YOPLAIT 1/2  , 19, 6
14, 2224, YOKC, YOGURT YOPLAIT 1KG (6PZ) CAJA , 177, 1
14, 2224, YOKC, YOGURT YOPLAIT 1KG (6PZ) CAJA , 177, 2
14, 2224, YOKC, YOGURT YOPLAIT 1KG (6PZ) CAJA , 177, 2
12, 1516, SAVMT, SALCHICHA VIVA 3KG MAYOREO, 110, 15
12, 1516, YOK, YOGURT YOPLAIT 1KG, 29.5, 10
13, 1759, QUAFG, QUESO AMARILLO FRANJA GRANEL, 52, 0.5
13, 1759, QU, QUESO PANELA IMPERIAL 69, 45, 0.95
13, 1759, MAD1, MARGARINA DELICIA 1KG KILO, 49, 1
13, 1759, SAPSAC, SALCHICHA PAVO SAN ANTONIO 2KG CHICA, 80.5, 2
13, 1759, CRCCHORRO, CREMA IMPERIAL              , 44, 2
9, 1114, QUFSMM1, ADOBERA SAN MIGUEL DORADA 1K (PRO) 134, 134, 1.5
14, 2047, CHRZG, CHILES RAJAS GRANEL (PRO), 37, 0.5
14, 2047, MAMG, MAYONESA MCCORMICK A GRANEL (PRO), 82, 0.5
14, 2047, JAEA, JAMON ESPALDILLA AROOS (PRO), 42, 0.5
15, 2229, CRCCHORRO, CREMA IMPERIAL              , 44, 5
7, 605, MAIB, QUESO MANCHEGO IMPERIAL BARRA 4KG 134, 524, 1
14, 2201, ADFOM, ADOBERA FUNDIR IMPERIAL ORO 1/2KG 109, 54.5, 12
14, 2201, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105, 105, 1.065
14, 2201, ASUPER, SALCHICHA SAN ANTONIO 3KG, 113, 2
10, 1418, QUCMI, QUESO CUBICADO MIXTO IMPERIAL (PRO), 79.5, 1
10, 1189, ADFM, ADOBERA FUNDIR IMPERIAL 1/2KG 93, 46.5, 0.52
10, 1189, ARRI, ARRACHERA MARINADA IMPERIAL, 84, 1
10, 1189, MAD1, MARGARINA DELICIA 1KG KILO, 49, 1
10, 1189, QUCC2, QUESO CREMA IMPERIAL 2.2KG, 112, 9
10, 1189, SAPFG, SALCHICHA PAVO FUD GRANEL, 56, 0.5
10, 1189, JAI, JAMON IMPERIAL, 55, 0.5
17, 2901, CRCCHORRO, CREMA IMPERIAL              , 44, 5
13, 1760, MAER1, MANTEQUILLA EUGENIA ROJA 1KG, 112, 1
13, 1760, YOY4, YOGURT YOPLAIT 4KG CUBETA , 110, 2
13, 1760, JPA, JAMON PIERNA ANDALUCIA, 89, 1
6, 212, QUOSC, QUESO OAXACA IMPERIAL ORO 1KG 122, 122, 0.985
6, 212, REIO, REQUESON IMPERIAL ORO 47, 47, 0.5
6, 212, JPA, JAMON PIERNA ANDALUCIA, 89, 0.5
6, 247, MASV, MAYONESA STAR VALUE 3.45KG AZUL, 184, 1
